ID;"Active (0/1)";"Name *";"Parent category";"Root category (0/1)";Description;"Meta title";"Meta keywords";"Meta description";"URL rewritten";"Image URL"
;1;;;0;;;;;" ";https://ferreteria.es/media/catalog/category/ollas-y-cacerolas.jpg
;1;;;0;;;;;" ";https://ferreteria.es/media/catalog/category/ollas-a-presion_1.jpg
;1;;;0;;;;;" ";https://ferreteria.es/media/catalog/category/cacerolas_y_cazos_1.jpg
;1;;;0;;;;;" ";https://ferreteria.es/media/catalog/category/cocottes_1.jpg
;1;;;0;;;;;" ";https://ferreteria.es/media/catalog/category/cazuelas-de-barro_1.jpg
;1;;;0;;;;;" ";https://ferreteria.es/media/catalog/category/paellas_y_paelleras.jpg
;1;;;0;;;;;" ";https://ferreteria.es/media/catalog/category/bater_as_de_cocina.jpg
;1;;;0;;;;;" ";https://ferreteria.es/media/catalog/category/Pote_con_asa_inox.jpg
;1;;;0;;;;;" ";https://ferreteria.es/media/catalog/category/Cazo_Recto_Basic_Lacor.jpg
;1;;;0;;;;;" ";https://ferreteria.es/media/catalog/category/tapas-sueltas-y-_recambios-para-olla.jpg
59;1;Verduleros;2;0;Verduleros;Verduleros;Verduleros;Verduleros;" ";" "
60;1;"Verduleros de 3 cestas";59;0;"Verduleros de 3 cestas";"Verduleros de 3 cestas";"Verduleros de 3 cestas";"Verduleros de 3 cestas";" ";
61;1;"Verduleros de 4 cestas";59;0;"Verduleros de 4 cestas";"Verduleros de 4 cestas";"Verduleros de 4 cestas";"Verduleros de 4 cestas";" ";
62;1;"Verduleros dobles";59;0;"Verduleros dobles";"Verduleros dobles";"Verduleros dobles";"Verduleros dobles";" ";
63;1;"Carros de cocina";59;0;"Carros de cocina";"Carros de cocina";"Carros de cocina";"Carros de cocina";" ";
;1;;;0;;;;;" ";https://ferreteria.es/media/catalog/category/verduleros_de_3_cestas.jpg
;1;;;0;;;;;" ";https://ferreteria.es/media/catalog/category/verduleros_de_4_cestas.jpg
;1;;;0;;;;;" ";https://ferreteria.es/media/catalog/category/verduleros_dobles.jpg
